country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-01-2024 16:00:00,16.5150833,80.5181667,NH3,4,5,4
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-01-2024 16:00:00,16.5150833,80.5181667,CO,6,28,17
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",20-01-2024 16:00:00,14.675886,77.593027,PM2.5,39,62,51
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",20-01-2024 16:00:00,14.675886,77.593027,CO,14,54,39
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",20-01-2024 16:00:00,13.204880,79.097889,PM2.5,33,80,54
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",20-01-2024 16:00:00,13.204880,79.097889,NO2,6,33,14
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-01-2024 16:00:00,16.9872867,81.7363176,NH3,3,10,6
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-01-2024 16:00:00,16.9872867,81.7363176,CO,1,114,35
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",20-01-2024 16:00:00,13.67,79.35,SO2,1,7,5
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",20-01-2024 16:00:00,13.615387,79.409230,PM2.5,20,80,34
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",20-01-2024 16:00:00,13.615387,79.409230,CO,10,15,13
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",20-01-2024 16:00:00,13.615387,79.409230,OZONE,1,39,20
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",20-01-2024 16:00:00,16.536107,80.594233,NO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",20-01-2024 16:00:00,16.536107,80.594233,CO,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",20-01-2024 16:00:00,16.509717,80.612222,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",20-01-2024 16:00:00,17.72,83.3,PM2.5,32,213,84
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",20-01-2024 16:00:00,17.72,83.3,OZONE,8,36,20
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",20-01-2024 16:00:00,27.103358,93.679645,CO,5,56,5
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",20-01-2024 16:00:00,27.103358,93.679645,OZONE,2,2,2
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",20-01-2024 16:00:00,26.071318,91.87488,PM10,41,409,197
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",20-01-2024 16:00:00,26.187500,91.744194,SO2,57,103,72
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",20-01-2024 16:00:00,26.187500,91.744194,CO,29,117,50
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",20-01-2024 16:00:00,26.187500,91.744194,OZONE,17,17,17
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",20-01-2024 16:00:00,26.181742,91.78063,NO2,3,4,3
