country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",06-01-2024 04:00:00,28.498571,77.264840,CO,50,106,85
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",06-01-2024 04:00:00,28.5710274,77.0719006,NO2,15,60,36
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",06-01-2024 04:00:00,28.5627763,77.1180053,PM10,NA,NA,NA
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",06-01-2024 04:00:00,28.5627763,77.1180053,OZONE,8,18,17
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",06-01-2024 04:00:00,28.6811736,77.3025234,NO2,23,53,41
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",06-01-2024 04:00:00,28.6811736,77.3025234,CO,10,74,41
India,Delhi,Delhi,"ITO, Delhi - CPCB",06-01-2024 04:00:00,28.628624,77.241060,NH3,4,9,6
India,Delhi,Delhi,"ITO, Delhi - CPCB",06-01-2024 04:00:00,28.628624,77.241060,CO,20,101,35
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",06-01-2024 04:00:00,28.732820,77.170633,SO2,13,20,16
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",06-01-2024 04:00:00,28.732820,77.170633,CO,28,108,58
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",06-01-2024 04:00:00,28.580280,77.233829,NO2,49,105,72
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",06-01-2024 04:00:00,28.5918245,77.2273074,CO,68,100,87
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",06-01-2024 04:00:00,28.5918245,77.2273074,OZONE,12,44,22
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",06-01-2024 04:00:00,28.611281,77.237738,CO,62,106,76
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",06-01-2024 04:00:00,28.636429,77.201067,SO2,2,4,3
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",06-01-2024 04:00:00,28.636429,77.201067,CO,4,60,23
